sample-id,absolute-filepath,direction
MF_C1,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-20-MF-C1_S72_L001_R1_001.fastq.gz,forward
MF_C1,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-20-MF-C1_S72_L001_R2_001.fastq.gz,reverse
MF_C2,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-21-MF-C2_S73_L001_R1_001.fastq.gz,forward
MF_C2,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-21-MF-C2_S73_L001_R2_001.fastq.gz,reverse
MF_C3,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-22-MF-C3_S74_L001_R1_001.fastq.gz,forward
MF_C3,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-22-MF-C3_S74_L001_R2_001.fastq.gz,reverse
MF_C4,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-23-MF-C4_S75_L001_R1_001.fastq.gz,forward
MF_C4,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-23-MF-C4_S75_L001_R2_001.fastq.gz,reverse
MF_C5,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-24-MF-C5_S76_L001_R1_001.fastq.gz,forward
MF_C5,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-24-MF-C5_S76_L001_R2_001.fastq.gz,reverse
MF_C6,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-25-MF-C6_S77_L001_R1_001.fastq.gz,forward
MF_C6,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-25-MF-C6_S77_L001_R2_001.fastq.gz,reverse
MF_C7,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-26-MF-C7_S78_L001_R1_001.fastq.gz,forward
MF_C7,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-26-MF-C7_S78_L001_R2_001.fastq.gz,reverse
MF_C8,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-27-MF-C8_S79_L001_R1_001.fastq.gz,forward
MF_C8,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-27-MF-C8_S79_L001_R2_001.fastq.gz,reverse
MF_C9,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-28-MF-C9_S80_L001_R1_001.fastq.gz,forward
MF_C9,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-28-MF-C9_S80_L001_R2_001.fastq.gz,reverse
MF_C10,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-29-MF-C10_S81_L001_R1_001.fastq.gz,forward
MF_C10,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-29-MF-C10_S81_L001_R2_001.fastq.gz,reverse
MF_C11,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-30-MF-C11_S82_L001_R1_001.fastq.gz,forward
MF_C11,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-30-MF-C11_S82_L001_R2_001.fastq.gz,reverse
MF_C12,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-31-MF-C12_S83_L001_R1_001.fastq.gz,forward
MF_C12,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-31-MF-C12_S83_L001_R2_001.fastq.gz,reverse
MF_C13,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-32-MF-C13_S84_L001_R1_001.fastq.gz,forward
MF_C13,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-32-MF-C13_S84_L001_R2_001.fastq.gz,reverse
MF_C14,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-33-MF-C14_S85_L001_R1_001.fastq.gz,forward
MF_C14,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-33-MF-C14_S85_L001_R2_001.fastq.gz,reverse
MF_C15,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-34-MF-C15_S86_L001_R1_001.fastq.gz,forward
MF_C15,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-34-MF-C15_S86_L001_R2_001.fastq.gz,reverse
MF_C16,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-35-MF-C16_S87_L001_R1_001.fastq.gz,forward
MF_C16,/projects/b1052/mckenna/wssc/raw_reads/GMCF-169-35-MF-C16_S87_L001_R2_001.fastq.gz,reverse
