"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"9ee9247516bf4324950c12accf3741a6","Bacteria","Patescibacteria","ABY1","Ca_Magasanikbacteria","midas_f_58834","midas_g_76328","midas_s_78881"
"cd1bb9323400a27c11d21053bb796c12","Bacteria","Patescibacteria","ABY1","Ca_Kuenenbacteria","midas_f_18391","midas_g_18391","midas_s_34970"
"ffd51f090d714a7e33a91e30921d59f4","Bacteria","Patescibacteria","Gracilibacteria","midas_o_8322","midas_f_8322","midas_g_8322",NA
"871dd8f0a0191cad34d72ec07b073376","Bacteria","Patescibacteria","Parcubacteria","Ca_Moranbacteria","midas_f_9621","midas_g_11532","midas_s_11532"
"94184f635621e30e36c38ff847891af4","Bacteria","Patescibacteria","Parcubacteria","Ca_Moranbacteria","midas_f_9621","midas_g_11532",NA
"57071afb7a6002b391f0bd2f5dbe192e","Bacteria","Patescibacteria","Parcubacteria","midas_o_22488","midas_f_45255","midas_g_50035",NA
"9491a5ba2ffb92e9de0d08f42cc5be86","Bacteria","Patescibacteria","Parcubacteria","midas_o_11143","midas_f_11143","midas_g_15216","midas_s_38241"
"1ed223dca943bb0006a6cb9c336ac2be","Bacteria","Patescibacteria","Parcubacteria","midas_o_11143","midas_f_11143","midas_g_88945","midas_s_88945"
"137e74a725fd7c6f0c69030161f8054d","Bacteria","Patescibacteria","Parcubacteria","midas_o_11143","midas_f_11143","midas_g_27596","midas_s_27596"
"e7fad3b5819259f731188affef5728a5","Bacteria","Patescibacteria","Parcubacteria","midas_o_11143","midas_f_11143","midas_g_12070","midas_s_38199"
"27c3fc7799c7846f8f048f3e2bd8934e","Bacteria","Patescibacteria","Berkelbacteria","midas_o_41871","midas_f_41871","midas_g_41871",NA
"94a5b181f69f59ba67253eaadc3e450e","Bacteria","Patescibacteria","WWE3","midas_o_12111","midas_f_12111","midas_g_45494","midas_s_45494"
"ab5294df837c5c9c5ecd45cdf2861fd8","Bacteria","Patescibacteria","WWE3","midas_o_12111","midas_f_12111","midas_g_45494","midas_s_45494"
"29b3179a1ea986877db2438ffdab4c18","Bacteria","Patescibacteria","WWE3","midas_o_12111","midas_f_12111","midas_g_45494","midas_s_45494"
"81bc976a842b7f49a43deea8e48ae0eb","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","midas_f_903","midas_g_903","midas_s_44239"
"9f606c15725c4906d247a87322549106","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","midas_f_9407","midas_g_11235","midas_s_16799"
"0771ae733a3021bc17dad9595edcd047","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","midas_f_11626","midas_g_15856","midas_s_17797"
"1f7a5d901afc9cacc34cfb07606128a4","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","midas_f_11626","midas_g_15856","midas_s_17797"
"8e4512681fcf21af8e659d7f7884b905","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","midas_f_5391","midas_g_5391","midas_s_6496"
"215fdc3142622857c6f0338e8f4312b4","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","midas_f_5391","midas_g_6328","midas_s_14507"
"b5db956e3f3d2945b1f8ef900903ff09","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","midas_f_5391","midas_g_6328","midas_s_14507"
