,OTU,Sample,Abundance,battery,test,date,Kingdom,Phylum,Class,Order,Family,Genus,Species
404,03fce7ef466753914b6b385f1e2f87f6,MF_C9,11.23454202,AT2,AT2/AT3,6/30/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,midas_s_10309
415,03fce7ef466753914b6b385f1e2f87f6,MF_C1,11.21436114,AT1,AT1,6/30/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,midas_s_10309
405,03fce7ef466753914b6b385f1e2f87f6,MF_C12,9.067850349,AT2,AT2/AT3,9/28/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,midas_s_10309
9445,622654e7237e6eee624c9ae884dfb4d7,MF_C9,8.845105848,AT2,AT2/AT3,6/30/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
407,03fce7ef466753914b6b385f1e2f87f6,MF_C10,8.778545988,AT2,AT2/AT3,7/20/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,midas_s_10309
411,03fce7ef466753914b6b385f1e2f87f6,MF_C2,8.681808533,AT1,AT1,7/20/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,midas_s_10309
9446,622654e7237e6eee624c9ae884dfb4d7,MF_C1,8.658922914,AT1,AT1,6/30/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
402,03fce7ef466753914b6b385f1e2f87f6,MF_C7,8.050665522,AT1,AT1,11/15/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,midas_s_10309
9455,622654e7237e6eee624c9ae884dfb4d7,MF_C10,8.024303373,AT2,AT2/AT3,7/20/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
409,03fce7ef466753914b6b385f1e2f87f6,MF_C13,7.863974495,AT2,AT2/AT3,10/20/2021,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,midas_s_10309
