"","Abundance","date","Genus","test"
"5",11.2143611404435,2021-06-30,"Gordonia","AT1"
"3",8.68180853322012,2021-07-20,"Gordonia","AT1"
"52",8.65892291446674,2021-06-30,"Mycobacterium","AT1"
"4",8.05066552168313,2021-11-15,"Gordonia","AT1"
"8",7.44073748902546,2021-09-28,"Gordonia","AT1"
"2",7.43329097839898,2021-10-20,"Gordonia","AT1"
"49",7.19592443218,2021-07-20,"Mycobacterium","AT1"
"6",6.85826257348138,2021-11-23,"Gordonia","AT1"
"1",6.72250385717434,2021-11-01,"Gordonia","AT1"
"43",6.66525153895139,2021-07-20,"midas_g_2003","AT1"
"7",6.19602763385147,2021-09-07,"Gordonia","AT1"
"54",5.35405872193437,2021-09-07,"Mycobacterium","AT1"
"53",5.08259212198221,2021-10-20,"Mycobacterium","AT1"
"21",4.5552677029361,2021-09-07,"Methylotenera","AT1"
"47",3.87921534053339,2021-11-01,"midas_g_2003","AT1"
"17",3.83312155866158,2021-10-20,"Methylotenera","AT1"
"56",3.59964881474978,2021-09-28,"Mycobacterium","AT1"
"51",3.54229282954058,2021-11-15,"Mycobacterium","AT1"
"9",3.523668011038,2021-07-20,"Mycobacterium","AT1"
"23",3.39630651666313,2021-07-20,"Methylotenera","AT1"
"10",3.37909186906019,2021-06-30,"Mycobacterium","AT1"
"45",3.33625987708516,2021-09-28,"midas_g_2003","AT1"
"55",3.24406705856738,2021-11-23,"Mycobacterium","AT1"
"58",3.04165748291823,2021-11-01,"Dokdonella","AT1"
"11",3.0283778060144,2021-10-20,"Mycobacterium","AT1"
"14",3.0055817947617,2021-11-15,"Mycobacterium","AT1"
"19",3.00457217504899,2021-11-23,"Methylotenera","AT1"
"20",2.99757549041217,2021-11-01,"Methylotenera","AT1"
"44",2.93609671848014,2021-09-07,"midas_g_2003","AT1"
"29",2.91450777202073,2021-09-07,"Ca_Competibacter","AT1"
"18",2.89823958780593,2021-11-15,"Methylotenera","AT1"
"13",2.89291882556131,2021-09-07,"Mycobacterium","AT1"
"50",2.77716552788186,2021-11-01,"Mycobacterium","AT1"
"24",2.69973661106234,2021-09-28,"Methylotenera","AT1"
"16",2.61267145656434,2021-11-23,"Mycobacterium","AT1"
"78",2.59768140832976,2021-11-15,"midas_g_72","AT1"
"80",2.5908991944263,2021-11-23,"midas_g_72","AT1"
"57",2.56247352816603,2021-10-20,"Dokdonella","AT1"
"73",2.44109530885162,2021-07-20,"midas_g_72","AT1"
"77",2.40246859158034,2021-11-01,"midas_g_72","AT1"
"42",2.30834392206692,2021-10-20,"midas_g_2003","AT1"
"60",2.30785978663183,2021-11-23,"Dokdonella","AT1"
"48",2.27565478746243,2021-11-15,"midas_g_2003","AT1"
"64",2.26683937823834,2021-09-07,"Dokdonella","AT1"
"33",2.13892418466751,2021-10-20,"AAP99","AT1"
"28",2.13797663654397,2021-11-01,"Ca_Competibacter","AT1"
"62",2.12537569772435,2021-11-15,"Dokdonella","AT1"
"12",2.09389464403791,2021-11-01,"Mycobacterium","AT1"
"75",2.06969376979937,2021-06-30,"midas_g_72","AT1"
"63",2.04126426690079,2021-09-28,"Dokdonella","AT1"
"15",2.01931518876207,2021-09-28,"Mycobacterium","AT1"
"79",1.99736611062335,2021-09-28,"midas_g_72","AT1"
"46",1.95950359242325,2021-11-23,"midas_g_2003","AT1"
"26",1.94832698009318,2021-10-20,"Ca_Competibacter","AT1"
"76",1.8847945785684,2021-10-20,"midas_g_72","AT1"
"69",1.81347150259067,2021-09-07,"Tetrasphaera","AT1"
"74",1.81347150259067,2021-09-07,"midas_g_72","AT1"
"41",1.75290390707497,2021-06-30,"midas_g_2003","AT1"
"30",1.6900790166813,2021-09-28,"Ca_Competibacter","AT1"
"25",1.64730728616684,2021-06-30,"Ca_Competibacter","AT1"
"67",1.63291966035271,2021-11-23,"Tetrasphaera","AT1"
"32",1.63160154572778,2021-11-15,"Ca_Competibacter","AT1"
"39",1.57599309153713,2021-09-07,"AAP99","AT1"
"22",1.49947201689546,2021-06-30,"Methylotenera","AT1"
"35",1.45470575270002,2021-11-01,"AAP99","AT1"
