genus,date,battery,total_ab
Ca_Accumulibacter,2021-06-30,control,0.146719765
Ca_Accumulibacter,2021-06-30,test,0
Ca_Accumulibacter,2021-07-20,control,0.083804735
Ca_Accumulibacter,2021-07-20,test,0.21226915700000001
Ca_Accumulibacter,2021-09-07,control,0.573126725
Ca_Accumulibacter,2021-09-07,test,0.755613126
Ca_Accumulibacter,2021-09-28,control,0.211371803
Ca_Accumulibacter,2021-09-28,test,0.329236173
Ca_Accumulibacter,2021-10-20,control,0.488841658
Ca_Accumulibacter,2021-10-20,test,0.317662007
Ca_Accumulibacter,2021-11-01,control,1.847079038
Ca_Accumulibacter,2021-11-01,test,1.05796782
Ca_Accumulibacter,2021-11-15,control,0.278730703
Ca_Accumulibacter,2021-11-15,test,0.407900386
Ca_Accumulibacter,2021-11-23,control,0.308098592
Ca_Accumulibacter,2021-11-23,test,0.30481167
Ca_Competibacter,2021-06-30,control,1.760637183
Ca_Competibacter,2021-06-30,test,1.795142555
Ca_Competibacter,2021-07-20,control,1.110412739
Ca_Competibacter,2021-07-20,test,1.485884101
Ca_Competibacter,2021-09-07,control,4.011887073
Ca_Competibacter,2021-09-07,test,4.123488774
Ca_Competibacter,2021-09-28,control,3.360811668
Ca_Competibacter,2021-09-28,test,3.358208956
Ca_Competibacter,2021-10-20,control,3.804463337
Ca_Competibacter,2021-10-20,test,3.324862347
Ca_Competibacter,2021-11-01,control,3.350515463
Ca_Competibacter,2021-11-01,test,3.526559402
Ca_Competibacter,2021-11-15,control,2.680102916
Ca_Competibacter,2021-11-15,test,2.898239588
Ca_Competibacter,2021-11-23,control,2.904929578
Ca_Competibacter,2021-11-23,test,2.068364902
Tetrasphaera,2021-06-30,control,7.81806749
Tetrasphaera,2021-06-30,test,6.884899685
Tetrasphaera,2021-07-20,control,3.582652419
Tetrasphaera,2021-07-20,test,2.462322224
Tetrasphaera,2021-09-07,control,2.610910634
Tetrasphaera,2021-09-07,test,3.195164076
Tetrasphaera,2021-09-28,control,3.529909109
Tetrasphaera,2021-09-28,test,3.050921861
Tetrasphaera,2021-10-20,control,3.868225293
Tetrasphaera,2021-10-20,test,3.5154595520000003
Tetrasphaera,2021-11-01,control,3.1572164949999997
Tetrasphaera,2021-11-01,test,3.1518624650000002
Tetrasphaera,2021-11-15,control,3.773584906
Tetrasphaera,2021-11-15,test,3.284671533
Tetrasphaera,2021-11-23,control,3.1690140860000002
Tetrasphaera,2021-11-23,test,3.984323972
