sample-id,absolute-filepath,direction
C1,/projects/p31629/wssc/raw_reads/GMCF-169-20-MF-C1_S72_L001_R1_001.fastq.gz,forward
C1,/projects/p31629/wssc/raw_reads/GMCF-169-20-MF-C1_S72_L001_R2_001.fastq.gz,reverse
C2,/projects/p31629/wssc/raw_reads/GMCF-169-21-MF-C2_S73_L001_R1_001.fastq.gz,forward
C2,/projects/p31629/wssc/raw_reads/GMCF-169-21-MF-C2_S73_L001_R2_001.fastq.gz,reverse
C3,/projects/p31629/wssc/raw_reads/GMCF-169-22-MF-C3_S74_L001_R1_001.fastq.gz,forward
C3,/projects/p31629/wssc/raw_reads/GMCF-169-22-MF-C3_S74_L001_R2_001.fastq.gz,reverse
C4,/projects/p31629/wssc/raw_reads/GMCF-169-23-MF-C4_S75_L001_R1_001.fastq.gz,forward
C4,/projects/p31629/wssc/raw_reads/GMCF-169-23-MF-C4_S75_L001_R2_001.fastq.gz,reverse
C5,/projects/p31629/wssc/raw_reads/GMCF-169-24-MF-C5_S76_L001_R1_001.fastq.gz,forward
C5,/projects/p31629/wssc/raw_reads/GMCF-169-24-MF-C5_S76_L001_R2_001.fastq.gz,reverse
C6,/projects/p31629/wssc/raw_reads/GMCF-169-25-MF-C6_S77_L001_R1_001.fastq.gz,forward
C6,/projects/p31629/wssc/raw_reads/GMCF-169-25-MF-C6_S77_L001_R2_001.fastq.gz,reverse
C7,/projects/p31629/wssc/raw_reads/GMCF-169-26-MF-C7_S78_L001_R1_001.fastq.gz,forward
C7,/projects/p31629/wssc/raw_reads/GMCF-169-26-MF-C7_S78_L001_R2_001.fastq.gz,reverse
C8,/projects/p31629/wssc/raw_reads/GMCF-169-27-MF-C8_S79_L001_R1_001.fastq.gz,forward
C8,/projects/p31629/wssc/raw_reads/GMCF-169-27-MF-C8_S79_L001_R2_001.fastq.gz,reverse
C9,/projects/p31629/wssc/raw_reads/GMCF-169-28-MF-C9_S80_L001_R1_001.fastq.gz,forward
C9,/projects/p31629/wssc/raw_reads/GMCF-169-28-MF-C9_S80_L001_R2_001.fastq.gz,reverse
C10,/projects/p31629/wssc/raw_reads/GMCF-169-29-MF-C10_S81_L001_R1_001.fastq.gz,forward
C10,/projects/p31629/wssc/raw_reads/GMCF-169-29-MF-C10_S81_L001_R2_001.fastq.gz,reverse
C11,/projects/p31629/wssc/raw_reads/GMCF-169-30-MF-C11_S82_L001_R1_001.fastq.gz,forward
C11,/projects/p31629/wssc/raw_reads/GMCF-169-30-MF-C11_S82_L001_R2_001.fastq.gz,reverse
C12,/projects/p31629/wssc/raw_reads/GMCF-169-31-MF-C12_S83_L001_R1_001.fastq.gz,forward
C12,/projects/p31629/wssc/raw_reads/GMCF-169-31-MF-C12_S83_L001_R2_001.fastq.gz,reverse
C13,/projects/p31629/wssc/raw_reads/GMCF-169-32-MF-C13_S84_L001_R1_001.fastq.gz,forward
C13,/projects/p31629/wssc/raw_reads/GMCF-169-32-MF-C13_S84_L001_R2_001.fastq.gz,reverse
C14,/projects/p31629/wssc/raw_reads/GMCF-169-33-MF-C14_S85_L001_R1_001.fastq.gz,forward
C14,/projects/p31629/wssc/raw_reads/GMCF-169-33-MF-C14_S85_L001_R2_001.fastq.gz,reverse
C15,/projects/p31629/wssc/raw_reads/GMCF-169-34-MF-C15_S86_L001_R1_001.fastq.gz,forward
C15,/projects/p31629/wssc/raw_reads/GMCF-169-34-MF-C15_S86_L001_R2_001.fastq.gz,reverse
C16,/projects/p31629/wssc/raw_reads/GMCF-169-35-MF-C16_S87_L001_R1_001.fastq.gz,forward
C16,/projects/p31629/wssc/raw_reads/GMCF-169-35-MF-C16_S87_L001_R2_001.fastq.gz,reverse
