sample-id	location	battery	date	timepoint
C1	AT1	test	6/30/2021	0
C2	AT1	test	7/20/2021	20
C3	AT1	test	9/7/2021	69
C4	AT1	test	9/28/2021	90
C5	AT1	test	10/20/2021	112
C6	AT1	test	11/1/2021	124
C7	AT1	test	11/15/2021	138
C8	AT1	test	11/23/2021	146
C9	AT2	control	6/30/2021	0
C10	AT2	control	7/20/2021	20
C11	AT3	control	9/7/2021	69
C12	AT2	control	9/28/2021	90
C13	AT2	control	10/20/2021	112
C14	AT2	control	11/1/2021	124
C15	AT2	control	11/15/2021	138
C16	AT2	control	11/23/2021	146
WT_1	AT1	test	12/20/2021	173
WT_2	AT1	test	1/5/2022	189
WT_3	AT1	test	1/25/2022	209
WT_4	AT1	test	2/8/2022	223
WT_5	AT1	test	2/22/2022	237
WT_6	AT1	test	3/14/2022	257
WT_7	AT1	test	4/19/2022	293
WT_8	AT1	test	5/9/2022	313
WT_9	AT1	test	5/23/2022	327
WT_10	AT1	test	6/13/2022	348
WT_11	AT1	test	6/27/2022	362
WT_12	AT1	test	7/11/2022	376
WT_13	AT1	test	7/25/2022	390
WT_14	AT1	test	8/22/2022	418
WT_15	AT1	test	8/31/2022	427
WT_16	AT1	test	8/9/2022	405
WT_17	AT1	test	8/10/2021	41
WT_18	AT1	test	8/23/2021	54
WT_19	AT1	test	12/6/2021	159
WC_1	AT2	control	12/20/2021	173
WC_2	AT2	control	2/22/2022	237
WC_3	AT2	control	4/19/2022	293
WC_4	AT2	control	6/27/2022	362
WC_5	AT2	control	8/31/2022	427
