"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"51f8f6ce5bc41716c30e8f2bcefc8f9f","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Saprospiraceae"
"0b4dc7255e066556189e7f303a66c404","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera","uncultured_bacterium"
"32c9e006d462bf06a805202e947f2930","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","AAP99","uncultured_bacterium"
"1a828fec6683224513648d17bcb10f85","d__Bacteria","Proteobacteria","Gammaproteobacteria","Competibacterales","Competibacteraceae","Candidatus_Competibacter",NA
"6b2030a8d8c47bf09d9b07b826735881","d__Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella",NA
"03fce7ef466753914b6b385f1e2f87f6","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"09304de7bcdde93714df6d4800a79b4d","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"622654e7237e6eee624c9ae884dfb4d7","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"61b82c9ab06631cb23282ac7e8d8fa75","d__Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Kouleothrix","uncultured_bacterium"
"a79228acd06594e1d83f256824d88b3d","d__Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9","RBG-13-54-9","metagenome"
