"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"9ee9247516bf4324950c12accf3741a6","d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","metagenome"
"cd1bb9323400a27c11d21053bb796c12","d__Bacteria","Patescibacteria","ABY1","Candidatus_Kuenenbacteria","Candidatus_Kuenenbacteria","Candidatus_Kuenenbacteria","uncultured_bacterium"
"ffd51f090d714a7e33a91e30921d59f4","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","uncultured_bacterium"
"7f2f5e48caf5ac5f77799c9860fcb20d","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","wastewater_metagenome"
"9f7cb4864034868e579a27fe24cf6f63","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","uncultured_bacterium"
"871dd8f0a0191cad34d72ec07b073376","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","uncultured_bacterium"
"94184f635621e30e36c38ff847891af4","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","uncultured_bacterium"
"5a47811f23e5effc87123251f072cb66","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Nomurabacteria","Candidatus_Nomurabacteria","Candidatus_Nomurabacteria","uncultured_bacterium"
"9491a5ba2ffb92e9de0d08f42cc5be86","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"01254b3debb5df39c920b97997ade7db","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"19b7a4da224928cedbb398af600865d3","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"ab9323c8369e1d0e44df21b9c36ccb15","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"1ed223dca943bb0006a6cb9c336ac2be","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"137e74a725fd7c6f0c69030161f8054d","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"e7fad3b5819259f731188affef5728a5","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"27c3fc7799c7846f8f048f3e2bd8934e","d__Bacteria","Patescibacteria","Berkelbacteria","Berkelbacteria","Berkelbacteria","Berkelbacteria","uncultured_bacterium"
"ab5294df837c5c9c5ecd45cdf2861fd8","d__Bacteria","Patescibacteria","WWE3","WWE3","WWE3","WWE3","bacterium_enrichment"
"29b3179a1ea986877db2438ffdab4c18","d__Bacteria","Patescibacteria","WWE3","WWE3","WWE3","WWE3","bacterium_enrichment"
"9f606c15725c4906d247a87322549106","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","wastewater_metagenome"
"0771ae733a3021bc17dad9595edcd047","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","wastewater_metagenome"
"1f7a5d901afc9cacc34cfb07606128a4","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","wastewater_metagenome"
"8e4512681fcf21af8e659d7f7884b905","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","metagenome"
"215fdc3142622857c6f0338e8f4312b4","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales",NA
"9ac87711dad937dae180485787cd9190","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Candidatus_Saccharimonas","Candidatus_Saccharimonas"
"f5e7eb31cb9af68bf80122e689fcdc12","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales",NA
"a6ef9ef3b9229bfbfca5bb6fa6c9da23","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales",NA
"fc9ce8de86579d529249733640bd82ab","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales",NA
"314956e80815c72a353894c77f5c498d","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales",NA
